# AGSS09p2-Free-Opal-D5-PartIon-New
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
   50     2.38962E+04     3.64145E+00     1.09700E+00     7.42503E-01     5.61733E-15     1.92278E+11     5.76920E+05     1.94004E-07     3.55094E+08     8.40279E+01     1.44992E-02     6.14104E+00     2.73648E+00     1.01961E-02     1.04470E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.56057E-06
   51     2.46735E+04     3.64161E+00     1.09113E+00     7.42503E-01     5.61733E-15     2.06270E+11     5.31892E+05     2.21087E-07     3.55642E+08     9.96005E+01     1.29554E-02     6.09532E+00     2.74297E+00     1.01961E-02     1.08309E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.56344E-06
   52     2.54685E+04     3.64177E+00     1.08526E+00     7.42503E-01     6.15348E-15     2.08800E+11     5.22683E+05     2.28868E-07     3.55799E+08     1.03745E+02     1.27515E-02     6.04999E+00     2.74945E+00     1.01961E-02     1.12166E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.56671E-06
   53     2.62816E+04     3.64192E+00     1.07940E+00     7.42503E-01     5.61733E-15     2.03080E+11     5.40420E+05     2.20931E-07     3.55624E+08     9.73452E+01     1.35567E-02     6.00507E+00     2.75592E+00     1.01961E-02     1.16478E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.57044E-06
   54     2.71136E+04     3.64207E+00     1.07354E+00     7.42503E-01     5.61733E-15     1.96259E+11     5.62296E+05     2.11163E-07     3.55409E+08     9.02194E+01     1.45510E-02     5.96054E+00     2.76239E+00     1.01961E-02     1.21371E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.57469E-06
   55     2.79652E+04     3.64222E+00     1.06768E+00     7.42503E-01     6.15348E-15     2.00832E+11     5.46050E+05     2.22524E-07     3.55640E+08     9.62276E+01     1.40664E-02     5.91641E+00     2.76884E+00     1.01961E-02     1.27207E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.57955E-06
   56     2.88374E+04     3.64236E+00     1.06182E+00     7.42503E-01     6.15348E-15     2.00159E+11     5.47361E+05     2.24198E-07     3.55666E+08     9.62179E+01     1.42677E-02     5.87268E+00     2.77529E+00     1.01961E-02     1.31776E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.58509E-06
   57     2.97311E+04     3.64251E+00     1.05597E+00     7.42503E-01     6.15348E-15     2.02348E+11     5.38649E+05     2.31594E-07     3.55814E+08     9.99033E+01     1.40724E-02     5.82934E+00     2.78172E+00     1.01961E-02     1.39621E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.59142E-06
   58     3.06473E+04     3.64265E+00     1.05012E+00     7.42503E-01     5.61733E-15     1.87623E+11     5.89615E+05     2.06394E-07     3.55258E+08     8.35093E+01     1.63113E-02     5.78640E+00     2.78814E+00     1.01961E-02     1.45578E-34     0.00000E+00     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.59864E-06
   59     3.15871E+04     3.64279E+00     1.04428E+00     7.42503E-01     5.61733E-15     1.81065E+11     6.12547E+05     1.97386E-07     3.55061E+08     7.77242E+01     1.74656E-02     5.74385E+00     2.79455E+00     1.01961E-02     1.55800E-34     1.25527E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.60688E-06
   60     3.25519E+04     3.64293E+00     1.03844E+00     7.42503E-01     6.15348E-15     1.93575E+11     5.66712E+05     2.23341E-07     3.55596E+08     9.13596E+01     1.56869E-02     5.70169E+00     2.80095E+00     1.01961E-02     1.64356E-34     1.44111E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.61629E-06
   61     3.35433E+04     3.64307E+00     1.03260E+00     7.42503E-01     6.15348E-15     1.92090E+11     5.71187E+05     2.23441E-07     3.55583E+08     9.03343E+01     1.60425E-02     5.65993E+00     2.80734E+00     1.01961E-02     1.76924E-34     1.61001E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.62704E-06
   62     3.45627E+04     3.64321E+00     1.02678E+00     7.42503E-01     6.15348E-15     1.92063E+11     5.70262E+05     2.26464E-07     3.55634E+08     9.10642E+01     1.61716E-02     5.61856E+00     2.81371E+00     1.01961E-02     1.90008E-34     1.76406E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.63933E-06
   63     3.56123E+04     3.64334E+00     1.02095E+00     7.42503E-01     6.15348E-15     1.91073E+11     5.72932E+05     2.27595E-07     3.55643E+08     9.06302E+01     1.64576E-02     5.57759E+00     2.82007E+00     1.01961E-02     1.79201E-34     1.90402E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.65337E-06
   64     3.66940E+04     3.64347E+00     1.01514E+00     7.42503E-01     6.15348E-15     1.92576E+11     5.65999E+05     2.33913E-07     3.55769E+08     9.33539E+01     1.63258E-02     5.53701E+00     2.82641E+00     1.01961E-02     2.05479E-34     2.03181E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.66944E-06
   65     3.78106E+04     3.64360E+00     1.00934E+00     7.42503E-01     5.61733E-15     1.75599E+11     6.31115E+05     2.03810E-07     3.55099E+08     7.53501E+01     1.94582E-02     5.49684E+00     2.83273E+00     1.01961E-02     2.18618E-34     2.15399E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.68784E-06
   66     3.89649E+04     3.64373E+00     1.00354E+00     7.42503E-01     5.61733E-15     1.70572E+11     6.50543E+05     1.97600E-07     3.54953E+08     7.13152E+01     2.05857E-02     5.45708E+00     2.83904E+00     1.01961E-02     2.30890E-34     2.26731E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.70893E-06
   67     4.01603E+04     3.64386E+00     9.97761E-01     7.42503E-01     5.61733E-15     1.79268E+11     6.15488E+05     2.16616E-07     3.55329E+08     7.99312E+01     1.91248E-02     5.41772E+00     2.84533E+00     1.01961E-02     2.43422E-34     2.37619E-01     7.57062E-03     7.42503E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.73312E-06
   68     4.14008E+04     3.64398E+00     9.91993E-01     7.42502E-01     6.15348E-15     1.85201E+11     5.90499E+05     2.31748E-07     3.55639E+08     8.72743E+01     1.81459E-02     5.37878E+00     2.85159E+00     1.01961E-02     2.56562E-34     2.47884E-01     7.57062E-03     7.42502E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.76091E-06
   69     4.26910E+04     3.64410E+00     9.86240E-01     7.42502E-01     6.15348E-15     1.84838E+11     5.90815E+05     2.34379E-07     3.55675E+08     8.75898E+01     1.83482E-02     5.34027E+00     2.85783E+00     1.01961E-02     2.69137E-34     2.57510E-01     7.57062E-03     7.42502E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.79288E-06
   70     4.40367E+04     3.64423E+00     9.80504E-01     7.42502E-01     5.61733E-15     1.76842E+11     6.23131E+05     2.21410E-07     3.55362E+08     7.90922E+01     2.00960E-02     5.30219E+00     2.86405E+00     1.01961E-02     2.81910E-34     2.67069E-01     7.57062E-03     7.42502E-01     1.49078E+33     1.14634E-04     1.00000E+00     6.82971E-06
