# AGSS09p2-Free-Opal-D5-PartIon-OV02
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
   44     2.08037E+04     3.64272E+00     1.12131E+00     7.50000E-01     5.61733E-15     2.10461E+11     5.23312E+05     2.17726E-07     3.57540E+08     9.50317E+01     1.21660E-02     6.27864E+00     2.72049E+00     9.14822E-03     2.29084E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37694E-06
   45     2.15311E+04     3.64288E+00     1.11544E+00     7.50000E-01     5.61733E-15     2.09487E+11     5.25449E+05     2.18813E-07     3.57555E+08     9.46985E+01     1.23726E-02     6.23177E+00     2.72700E+00     9.14822E-03     2.42656E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37895E-06
   46     2.22745E+04     3.64304E+00     1.10957E+00     7.50000E-01     6.64652E-15     2.13270E+11     5.12739E+05     2.28764E-07     3.57762E+08     1.00151E+02     1.20492E-02     6.18531E+00     2.73349E+00     9.14822E-03     2.49529E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.38125E-06
   47     2.30343E+04     3.64319E+00     1.10370E+00     7.50000E-01     5.61733E-15     2.03340E+11     5.43064E+05     2.13369E-07     3.57428E+08     8.93778E+01     1.32869E-02     6.13926E+00     2.73999E+00     9.14822E-03     2.65897E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.38388E-06
   48     2.38111E+04     3.64335E+00     1.09783E+00     7.50000E-01     5.61733E-15     2.04765E+11     5.37732E+05     2.18756E-07     3.57532E+08     9.16444E+01     1.32294E-02     6.09361E+00     2.74647E+00     9.14822E-03     2.80166E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.38688E-06
   49     2.46055E+04     3.64350E+00     1.09197E+00     7.50000E-01     6.15348E-15     2.09635E+11     5.20950E+05     2.30964E-07     3.57784E+08     9.83243E+01     1.27430E-02     6.04836E+00     2.75294E+00     9.14822E-03     2.78785E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.39030E-06
   50     2.54182E+04     3.64365E+00     1.08610E+00     7.50000E-01     6.15348E-15     1.92284E+11     5.77083E+05     2.01914E-07     3.57159E+08     8.00797E+01     1.50404E-02     6.00352E+00     2.75941E+00     9.14822E-03     3.35250E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.39420E-06
   51     2.62498E+04     3.64380E+00     1.08024E+00     7.50000E-01     6.15348E-15     1.91174E+11     5.80360E+05     2.02567E-07     3.57162E+08     7.95405E+01     1.53317E-02     5.95907E+00     2.76586E+00     9.14822E-03     3.03151E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.39865E-06
   52     2.71012E+04     3.64394E+00     1.07438E+00     7.50000E-01     5.61733E-15     1.90711E+11     5.81479E+05     2.04365E-07     3.57187E+08     7.96094E+01     1.55401E-02     5.91502E+00     2.77231E+00     9.14822E-03     3.05684E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.40373E-06
   53     2.79733E+04     3.64409E+00     1.06853E+00     7.50000E-01     5.61733E-15     1.97583E+11     5.57293E+05     2.19715E-07     3.57505E+08     8.72778E+01     1.47256E-02     5.87136E+00     2.77874E+00     9.14822E-03     3.21249E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.40953E-06
   54     2.88670E+04     3.64423E+00     1.06268E+00     7.50000E-01     6.15348E-15     1.95181E+11     5.64779E+05     2.18054E-07     3.57456E+08     8.53261E+01     1.51859E-02     5.82810E+00     2.78516E+00     9.14822E-03     3.51479E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.41615E-06
   55     2.97833E+04     3.64437E+00     1.05683E+00     7.50000E-01     6.15348E-15     2.00860E+11     5.43727E+05     2.32215E-07     3.57754E+08     9.27099E+01     1.44877E-02     5.78523E+00     2.79158E+00     9.14822E-03     3.49277E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.42370E-06
   56     3.07236E+04     3.64451E+00     1.05099E+00     7.50000E-01     5.61733E-15     1.75242E+11     6.34445E+05     1.87896E-07     3.56809E+08     6.81025E+01     1.84991E-02     5.74275E+00     2.79798E+00     9.14823E-03     3.77320E-48     1.31690E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.43232E-06
   57     3.16890E+04     3.64465E+00     1.04515E+00     7.50000E-01     6.64652E-15     1.97913E+11     5.51935E+05     2.32548E-07     3.57737E+08     9.07826E+01     1.51354E-02     5.70067E+00     2.80437E+00     9.14823E-03     3.62695E-48     1.50029E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.44217E-06
   58     3.26813E+04     3.64479E+00     1.03932E+00     7.50000E-01     6.64652E-15     1.95552E+11     5.59436E+05     2.30897E-07     3.57685E+08     8.87235E+01     1.56112E-02     5.65898E+00     2.81074E+00     9.14823E-03     3.70889E-48     1.66281E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.45341E-06
   59     3.37020E+04     3.64492E+00     1.03349E+00     7.50000E-01     6.64652E-15     1.90207E+11     5.78326E+05     2.23260E-07     3.57497E+08     8.32568E+01     1.65900E-02     5.61768E+00     2.81710E+00     9.14823E-03     3.89976E-48     1.81159E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.46627E-06
